dt(GPS)	frame	 LO(m)	 AO(rad)
269.9990	1674	0.1649	-0.0560
269.9990	1675	0.1651	-0.0552
269.9990	1676	0.1623	-0.0560
269.9990	1677	0.1582	-0.0579
269.9990	1678	0.1561	-0.0596
269.9990	1679	0.1585	-0.0595
270.9988	1680	0.0081	-0.0579
270.9988	1681	0.0078	-0.0545
270.9988	1682	0.0076	-0.0398
270.9988	1683	0.0094	-0.0188
270.9988	1684	0.0087	-0.0077
270.9988	1685	0.0055	-0.0021
271.9991	1686	0.0405	-0.0025
271.9991	1687	0.0392	-0.0041
271.9991	1688	0.0385	-0.0058
271.9991	1689	0.0358	-0.0070
271.9991	1690	0.0344	-0.0077
271.9991	1691	0.0356	-0.0105
272.9993	1692	0.0331	-0.0122
272.9993	1693	0.0316	-0.0132
272.9993	1694	0.0302	-0.0138
272.9993	1695	0.0290	-0.0151
272.9993	1696	0.0279	-0.0151
272.9993	1697	0.0265	-0.0160
274.0001	1698	0.0303	-0.0172
274.0001	1699	0.0304	-0.0192
274.0001	1700	0.0296	-0.0214
274.0001	1701	0.0294	-0.0236
274.0001	1702	0.0289	-0.0241
274.0001	1703	0.0272	-0.0259
274.9990	1704	0.0428	-0.0267
274.9990	1705	0.0470	-0.0281
274.9990	1706	0.0481	-0.0304
274.9990	1707	0.0468	-0.0323
274.9990	1708	0.0462	-0.0335
274.9990	1709	0.0476	-0.0342
275.9991	1710	0.0577	-0.0362
275.9991	1711	0.0560	-0.0378
275.9991	1712	0.0549	-0.0387
275.9991	1713	0.0573	-0.0375
275.9991	1714	0.0596	-0.0376
275.9991	1715	0.0608	-0.0374
276.9993	1716	0.0739	-0.0385
276.9993	1717	0.0744	-0.0404
276.9993	1718	0.0750	-0.0417
276.9993	1719	0.0757	-0.0415
276.9993	1720	0.0791	-0.0368
276.9993	1721	0.0804	-0.0328
277.9996	1722	0.0728	-0.0238
277.9996	1723	0.0717	-0.0180
277.9996	1724	0.0707	-0.0152
277.9996	1725	0.0664	-0.0146
277.9996	1726	0.0655	-0.0149
277.9996	1727	0.0658	-0.0160
